# Seq RA_ICRS   DE_ICRS   Plx   e_Plx pmRA   e_pmRA pmDE   e_pmDE RV     e_RV  Memb GaiaDR2 SimbadName                   _RA_icrs  _DE_icrs  Gmag      BPmag     RPmag    
  94  174.2154  20.542675 11.3  0.06  -12.03 0.09   -9.4   0.06   2.27   0.75  t    GaiaDR2 "Gaia DR2 3979061872875506944" 174.21544 20.542715 10.08572  10.465282 9.539617 
  95  174.36433 24.546844 11.1  0.19  -12.05 0.26   -10.22 0.54   0.0    0.0   t    GaiaDR2 "Gaia DR2 3981181147178477056" 174.3644  24.546888 16.642109 18.45248  15.385302
  96  174.51378 16.638914 11.27 0.1   -11.8  0.16   -9.74  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 3972716488192456832" 174.51382 16.638956 15.618126 17.15907  14.40557 
  97  175.98376 7.806255  10.74 0.22  -13.05 0.46   -7.0   0.32   0.0    0.0   t    GaiaDR2 "Gaia DR2 3910169150043129088" 175.98381 7.806285  18.26243  20.45901  16.84971 
  98  176.12288 3.070249  10.72 0.11  -13.05 0.21   -6.03  0.13   0.0    0.0   t    GaiaDR2 "Gaia DR2 3799834674320020480" 176.12292 3.070275  16.775204 18.601051 15.497104
  99  176.71072 24.43811  11.58 0.2   -11.35 0.33   -9.29  0.25   0.0    0.0   t    GaiaDR2 "Gaia DR2 4005007422418078848" 176.71077 24.43815  17.767818 19.85903  16.383265
  100 177.15703 28.275108 11.2  0.04  -12.06 0.06   -9.36  0.06   0.5    1.04  t    GaiaDR2 "Gaia DR2 4019588600164776448" 177.15709 28.275148 10.228853 10.626971 9.667169 
  101 178.4396  24.170946 11.86 0.14  -11.87 0.18   -9.84  0.15   0.0    0.0   t    GaiaDR2 "Gaia DR2 4004386305722674944" 178.43967 24.170988 16.627987 18.380781 15.356735
  102 178.70856 14.888763 11.32 0.36  -13.46 0.55   -7.36  0.91   0.0    0.0   t    GaiaDR2 "Gaia DR2 3923649162599782784" 178.70862 14.888795 17.784988 19.89586  16.431597
  103 178.80397 9.57523   10.41 0.1   -11.36 0.16   -7.1   0.11   0.0    0.0   t    GaiaDR2 "Gaia DR2 3912171296294137344" 178.80402 9.575261  15.686855 17.259935 14.467032
  104 178.87724 25.475706 12.37 0.04  -12.77 0.06   -9.63  0.04   1.56   0.84  t    GaiaDR2 "Gaia DR2 4004752992851572096" 178.8773  25.475746 12.454886 13.330119 11.527107
  105 179.31633 24.651386 11.86 0.07  -12.32 0.12   -10.85 0.07   0.0    0.0   t    GaiaDR2 "Gaia DR2 4004509451025280768" 179.31639 24.651434 14.815242 16.258604 13.639269
  106 179.69498 21.907839 11.46 0.07  -11.65 0.11   -9.09  0.09   0.0    0.0   t    GaiaDR2 "Gaia DR2 4000505441994196352" 179.69502 21.907877 15.132257 16.511414 13.976976
  107 179.72545 23.852371 10.97 0.06  -11.75 0.12   -8.79  0.12   0.0    0.0   t    GaiaDR2 "Gaia DR2 4001382061998604288" 179.7255  23.85241  14.993288 16.434855 13.816191
  108 179.77165 26.742926 11.19 0.03  -12.02 0.05   -8.79  0.04   0.0    0.0   t    GaiaDR2 "Gaia DR2 4006473213152260736" 179.7717  26.742964 13.589093 14.67826  12.551653
  109 179.91254 27.146303 11.04 0.15  -11.12 0.24   -11.43 0.17   0.0    0.0   t    GaiaDR2 "Gaia DR2 4006512177095553280" 179.91258 27.146353 17.666288 19.723267 16.299152
  110 180.22334 30.824224 12.21 0.09  -12.33 0.13   -11.15 0.11   0.0    0.0   t    GaiaDR2 "Gaia DR2 4026284385460203904" 180.22342 30.824272 15.509421 17.04493  14.299833
  111 180.42395 27.486452 11.22 0.18  -11.6  0.28   -7.8   0.37   0.0    0.0   t    GaiaDR2 "Gaia DR2 4006897212323689088" 180.42401 27.486486 17.581898 19.645514 16.20159 
